page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
1;1;60;TOULOUSE;ALLEE;ALFRED MAYSSONNIE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;1;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
2;1;2;TOULOUSE;RUE;ALFRED NOBEL;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;3;TOULOUSE;IMPASSE;ALFRED RAMBAUD;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;4;TOULOUSE;RUE;ALFRED RAMBAUD;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;5;TOULOUSE;IMPASSE;ALICE GUY;1;;9999;;PI;LGT DES ARENES - TOULOUSE
2;1;6;TOULOUSE;RUE;ALMODIS;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
2;1;7;TOULOUSE;ROND POINT;ALPHONSE ALLAIS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;8;TOULOUSE;IMPASSE;ALPHONSE BREMOND;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;9;TOULOUSE;RUE;ALPHONSE DAUDET;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;10;TOULOUSE;RUE;AMABLE BENOIST DE SAINT ANGE;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;11;TOULOUSE;PLACE;AMAT MASSOT;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;12;TOULOUSE;RUE;AMBROISE CROIZAT;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
2;1;13;TOULOUSE;IMPASSE;AMBROISE CROZAT;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
2;1;14;TOULOUSE;RUE;AMBROISE FREDEAU;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;15;TOULOUSE;RUE;AMBROISE THOMAS;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;16;TOULOUSE;IMPASSE;AMEDEO MODIGLIANI;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;17;TOULOUSE;ALLEE;AMELIA EARHART;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;18;TOULOUSE;RUE;AMELIE;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
2;1;19;TOULOUSE;RUE;AMMARUE BOUTALBA;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
2;1;20;TOULOUSE;CHEMIN;AMOUROUX;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;21;TOULOUSE;IMPASSE;AMPERE;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;22;TOULOUSE;PLACE;ANATOLE FRANCE;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
2;1;23;TOULOUSE;PLACE;ANDRE ABBAL;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;24;TOULOUSE;CHEMIN;ANDRE ARBUS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;25;TOULOUSE;RUE;ANDRE BAUGE;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;26;TOULOUSE;AVENUE;ANDRE BOUSQUAIROL;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
2;1;27;TOULOUSE;CHEMIN;ANDRE BRETON;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;28;TOULOUSE;IMPASSE;ANDRE BROUSSIN;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;29;TOULOUSE;RUE;ANDRE BROUSSIN;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;30;TOULOUSE;IMPASSE;ANDRE CAMPRA;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;31;TOULOUSE;RUE;ANDRE CAVAGNOL;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
